table,baseline,n,mean_macro_f1,std,wins_vs_naive,delta_vs_naive,label_correctness,quality,C,L,H,hard_reject
full8,gold_only,8,0.11573282144639428,0.07391684122026047,2,-0.05083831386554217,,,,,,
full8,naive,8,0.16657113531193646,0.0675883684238044,,,0.7669921875,0.6623046874999999,0.5866949770290376,0.0030754425828072446,0.0664273692180782,0.486328125
full8,alpagasus_style,8,0.20217561328602376,0.09901024595167812,4,0.03560447797408731,0.8904296875000001,0.74912109375,0.6534102606550732,0.00568334502822803,0.06465142659241306,0.24609375
full8,deita_style,8,0.12754608249050514,0.07073664213459085,4,-0.039025052821431316,0.8685546875,0.7365234375,0.6372447982234007,0.005337839690561079,0.07024847036556081,0.298828125
full8,cosda_equal_budget,8,0.13260473044384244,0.10907644650859522,1,-0.033966404868094005,0.836328125,0.71767578125,0.6860637597699679,0.0023653482397048694,0.05816084475167976,0.109375
full8,cosda_rerank_v2,8,0.1627601526043196,0.10289699183900906,2,-0.0038109827076168255,0.90390625,0.74560546875,0.6742584079485824,0.0029593866251471086,0.05727378363236734,0.162109375
