kind,task,language,slug,baseline,macro_f1,selected_count,judge_label_correctness,judge_quality_score,score_C,score_L,score_H,hard_reject_rate,path
hf,sentiment_classification,amh,b64_m3_s13,cosda_rerank_v2,0.06877898306469735,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/amh/b64_m3_s13/hf/cosda_rerank_v2/test_metrics.json
hf,sentiment_classification,amh,b64_m3_s13,deita_style,0.0671764882291198,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/amh/b64_m3_s13/hf/deita_style/test_metrics.json
hf,sentiment_classification,amh,b64_m3_s13,gold_only,0.11063603182655324,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/amh/b64_m3_s13/hf/gold_only/test_metrics.json
hf,sentiment_classification,amh,b64_m3_s13,naive,0.15405234017248595,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/amh/b64_m3_s13/hf/naive/test_metrics.json
hf,sentiment_classification,hau,b64_m3_s13,alpagasus_style,0.33941761724133795,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/hau/b64_m3_s13/hf/alpagasus_style/test_metrics.json
hf,sentiment_classification,hau,b64_m3_s13,cosda_equal_budget,0.3491171109592162,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/hau/b64_m3_s13/hf/cosda_equal_budget/test_metrics.json
hf,sentiment_classification,hau,b64_m3_s13,cosda_rerank_v2,0.3748963112420065,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/hau/b64_m3_s13/hf/cosda_rerank_v2/test_metrics.json
hf,sentiment_classification,hau,b64_m3_s13,deita_style,0.19645700055146012,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/hau/b64_m3_s13/hf/deita_style/test_metrics.json
hf,sentiment_classification,hau,b64_m3_s13,gold_only,0.16850269125734485,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/hau/b64_m3_s13/hf/gold_only/test_metrics.json
hf,sentiment_classification,hau,b64_m3_s13,naive,0.16843215018690796,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/hau/b64_m3_s13/hf/naive/test_metrics.json
hf,sentiment_classification,swa,b64_m3_s13,alpagasus_style,0.2483221476510067,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/swa/b64_m3_s13/hf/alpagasus_style/test_metrics.json
hf,sentiment_classification,swa,b64_m3_s13,cosda_equal_budget,0.2483221476510067,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/swa/b64_m3_s13/hf/cosda_equal_budget/test_metrics.json
hf,sentiment_classification,swa,b64_m3_s13,cosda_rerank_v2,0.2483221476510067,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/swa/b64_m3_s13/hf/cosda_rerank_v2/test_metrics.json
hf,sentiment_classification,swa,b64_m3_s13,deita_style,0.2529761904761905,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/swa/b64_m3_s13/hf/deita_style/test_metrics.json
hf,sentiment_classification,swa,b64_m3_s13,gold_only,0.2483221476510067,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/swa/b64_m3_s13/hf/gold_only/test_metrics.json
hf,sentiment_classification,swa,b64_m3_s13,naive,0.2483221476510067,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/swa/b64_m3_s13/hf/naive/test_metrics.json
hf,sentiment_classification,yor,b64_m3_s13,alpagasus_style,0.1763102082897372,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/yor/b64_m3_s13/hf/alpagasus_style/test_metrics.json
hf,sentiment_classification,yor,b64_m3_s13,cosda_equal_budget,0.17571902354156474,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/yor/b64_m3_s13/hf/cosda_equal_budget/test_metrics.json
hf,sentiment_classification,yor,b64_m3_s13,cosda_rerank_v2,0.17571902354156474,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/yor/b64_m3_s13/hf/cosda_rerank_v2/test_metrics.json
hf,sentiment_classification,yor,b64_m3_s13,deita_style,0.18520310552925578,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/yor/b64_m3_s13/hf/deita_style/test_metrics.json
hf,sentiment_classification,yor,b64_m3_s13,gold_only,0.17789862766641737,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/yor/b64_m3_s13/hf/gold_only/test_metrics.json
hf,sentiment_classification,yor,b64_m3_s13,naive,0.17750632511068945,,,,,,,,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/sentiment_classification/yor/b64_m3_s13/hf/naive/test_metrics.json
selection,news_topic_classification,amh,b64_m3_s13,alpagasus_style,,64,0.8484375000000001,0.71953125,0.5573050010367296,0.0002256317689530686,0.04146804312713094,0.703125,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/amh/b64_m3_s13/selected/alpagasus_style.jsonl
selection,news_topic_classification,amh,b64_m3_s13,cosda_equal_budget,,64,0.75,0.66796875,0.5916462651628536,0.0,0.03663035693444787,0.515625,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/amh/b64_m3_s13/selected/cosda_equal_budget.jsonl
